Subject,Course,Average Grade
SOCW,455,3.91
SOCW,470,3.94
SOCW,500,3.62
SOCW,503,3.89
SOCW,506,3.94
SOCW,508,3.71
SOCW,509,3.8033333333333332
SOCW,514,3.8
SOCW,519,3.95
SOCW,541,3.74
SOCW,542,3.98
SOCW,552,3.6199999999999997
SOCW,553,3.89
SOCW,589,3.75
SPAN,102,2.57
SPAN,232,3.63
SPAN,246,3.75
SPAN,326,3.34
SPAN,395,3.68
SPED,117,3.8899999999999997
SPED,317,3.97
SPED,322,3.66
SPED,405,3.73
SPED,438,3.9
SPED,441,3.74
SPED,447,3.82
SPED,448,3.89
STAT,100,3.17
STAT,107,3.4
STAT,200,3.46
STAT,207,3.23
STAT,212,3.355
STAT,385,3.55
STAT,400,3.3519999999999994
STAT,408,2.78
STAT,410,3.245
STAT,420,3.4749999999999996
STAT,425,3.203333333333333
STAT,426,3.5
STAT,427,3.96
STAT,428,3.47
STAT,429,3.36
STAT,430,3.6166666666666667
STAT,431,3.34
STAT,432,3.69
STAT,433,3.5
STAT,440,3.9050000000000002
STAT,443,3.37
STAT,448,3.57
STAT,480,3.69
STAT,510,3.39
STAT,542,3.9
TAM,210,3.37
TAM,211,2.56
TAM,212,2.955
TAM,251,2.7249999999999996
TAM,252,3.37
TAM,335,3.035
TAM,412,2.6
TAM,445,2.99
TAM,542,3.71
TE,100,3.67
TE,250,3.88
TE,333,3.52
TE,360,3.615
TE,401,3.87
TE,450,3.59
TE,460,3.8
THEA,100,3.74
THEA,101,3.5913636363636368
THEA,110,3.5949999999999998
THEA,122,3.88
THEA,175,3.67
THEA,208,3.61
THEA,262,3.63
THEA,361,3.1
THEA,433,3.71
TRST,415,3.31
TSM,100,3.16
TSM,103,2.81
TSM,234,3.05
TSM,311,3.28
TSM,371,3.36
TSM,421,3.38
UP,116,3.64
UP,136,3.76
UP,185,3.73
UP,201,3.67
UP,205,3.28
UP,211,3.91
UP,230,3.41
UP,260,3.46
UP,330,2.52
UP,406,3.66
UP,430,3.81
UP,475,3.89
UP,494,3.83
UP,501,3.8
UP,511,3.73
UP,519,3.9
VCM,673,3.99
VM,603,3.08
VM,604,2.9
VM,608,2.89
VM,655,2.86
VM,656,2.88
